*Line, ����Ͽ�糧~ĵ����500kV��·����,SZJ
*Parts,18
*Part, Head, 1,     SZJ双回路直线转角塔右�?      S2701S-T0307-01
*Node,56
         1,   1442.857143,   1442.857143,  58690.476190
     127,      31,      41,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
*Part, Head, 2,     SZJ双回路直线转角塔左�?      S2701S-T0307-02
*Node,62
         1,  -1442.857143,   1442.857143,  58690.476190
         2,  -1300.000000,   1300.000000,  61500.000000
         3,  -5300.000000,   1300.000000,  61500.000000
         4,  -5300.000000,   1300.000000,  59500.000000
         5,  -8800.000000,   1300.000000,  61500.000000
         6,  -8800.000000,   1300.000000,  59500.000000
         7, -10400.000000,   1300.000000,  61500.000000
         8, -10400.000000,   1300.000000,  59500.000000
         9, -11500.000000,   1300.000000,  61500.000000
        10, -12200.000000,   1300.000000,  61500.000000
        11, -11500.000000,   1300.000000,  62400.000000
        12,  -3300.000000,   1300.000000,  61500.000000
        13,  -7050.000000,   1300.000000,  61500.000000
        14,  -3371.428571,   1371.428571,  59095.238095
        15,  -7050.000000,   1300.000000,  59500.000000
        16,  -9600.000000,   1300.000000,  60500.000000
        17,  -7925.000000,   1300.000000,  60500.000000
        18,  -6175.000000,   1300.000000,  60500.000000
        19,  -4410.373544,   1332.949128,  60390.712691
        20,  -2432.212993,   1366.752847,  60187.194015
        21,  -1300.000000,  -1300.000000,  61500.000000
        22, -12200.000000,  -1300.000000,  61500.000000
        23,  -5275.962682,  -1300.000000,  61500.000000
        24,  -7068.535626,  -1300.000000,  61500.000000
        25,  -8781.350041,  -1300.000000,  61500.000000
        26, -10384.496479,  -1300.000000,  61500.000000
        27, -11499.121924,  -1300.000000,  61500.000000
        28,  -3317.890789,  -1300.000000,  61500.000000
        29, -11849.780619,      0.814845,  61500.000000
        30, -10945.931647,      8.585235,  61500.000000
        31,  -9168.471662,   -678.175492,  61500.000000
        32,  -7924.971110,    -13.960107,  61500.000000
        33,  -6173.641106,     15.622777,  61500.000000
        34,  -4298.447090,    -13.770983,  61500.000000
        35,  -2304.452781,      5.788616,  61500.000000
        36,  -1442.857143,  -1442.857143,  58690.476190
        37, -10400.000000,  -1300.000000,  59500.000000
        38,  -5335.765435,  -1380.769291,  59042.307349
        39,  -7118.904925,  -1352.330065,  59203.462965
        40,  -8814.219613,  -1325.291553,  59356.681198
        41,  -3393.751869,  -1411.742394,  58866.793098
        42, -10400.000000,      0.000000,  59500.000000
        43,  -9609.626736,     -8.478949,  59428.568073
        44,  -8807.109807,    -12.645777,  59428.340599
        45,  -7954.289407,    -34.310988,  59350.820745
        46,  -6210.801214,    -12.363186,  59275.937830
        47,  -4354.225704,    -45.415747,  59185.837955
        48,  -2419.999253,    -16.953470,  58895.555399
        49, -10949.611881,     -0.120449,  60500.092653
        50, -11500.000000,  -1300.000000,  62400.000000
        51, -11850.000000,      0.000000,  61950.000000
        52, -10944.601288,      5.484453,  61951.898464
        53,  -5289.035006,    113.969822,  60412.330906
        54, -11499.560962,      0.000346,  61950.000120
        55,  -9622.861982,  -1312.267212,  60460.421839
        56,  -7975.494932,  -1325.366522,  60386.774617
        57,  -6230.349950,  -1339.070191,  60311.150615
        58,  -4364.866636,  -1354.089613,  60225.379548
        59,  -2397.303272,  -1370.138743,  60120.604727
        60, -11284.125600,   1300.000000,  61107.501090
        61, -11283.419846,  -1300.000000,  61107.501090
        62, -12200.000000,      0.000000,  61500.000000
*Element_Beam3D, 148
       1,      11,      10,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
       2,       7,      11,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
       3,       9,      11,     -0.000000,      0.998710,      0.050782,  Q345,     L40x4
       4,      10,       9,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
       5,       9,       7,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
       6,       7,       5,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
       7,       5,      13,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
       8,      13,       3,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
       9,       3,      12,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
      10,      12,       2,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
      11,       4,      15,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
      12,      15,       6,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
      13,       6,       8,      0.000000,     -0.998710,     -0.050782,  Q345,     L90x8
      14,       1,      14,      0.000000,     -0.998710,     -0.050782,  Q345,    L125x8
      15,      14,       4,      0.000000,     -0.998710,     -0.050782,  Q345,    L125x8
      16,       9,      60,     -0.000000,      0.998710,      0.050782,  Q345,     L80x6
      17,      60,       8,     -0.000000,      0.998710,      0.050782,  Q345,     L80x6
      18,       7,       8,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      19,       5,      16,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      20,      16,       8,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      21,       6,      16,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      22,      16,       7,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      23,       6,       5,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      24,      15,      17,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      25,      17,       5,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      26,      13,      17,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      27,      17,       6,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      28,       4,      18,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      29,      18,      13,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      30,       3,      18,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      31,      18,      15,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      32,       4,       3,     -0.000000,      0.998710,      0.050782,  Q345,     L63x5
      33,      14,      19,      0.000000,     -0.998710,     -0.050782,  Q345,     L50x4
      34,      19,       3,      0.000000,     -0.998710,     -0.050782,  Q345,     L50x4
      35,      12,       4,     -0.000000,      0.998710,      0.050782,  Q345,     L50x4
      36,       1,      20,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      37,      20,      12,      0.000000,     -0.998710,     -0.050782,  Q345,     L56x5
      38,       2,      14,     -0.000000,      0.998710,      0.050782,  Q345,     L56x5
      39,      22,      27,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      40,      27,      26,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      41,      26,      25,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      42,      25,      24,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      43,      24,      23,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      44,      23,      28,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      45,      28,      21,     -0.000000,     -0.000000,     -1.000000,  Q345,     L90x8
      46,      10,      62,      0.000000,      0.000000,      1.000000,  Q345,     L70x5
      47,      62,      22,      0.000000,      0.000000,      1.000000,  Q345,     L70x5
      48,      10,      29,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      49,      29,      27,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      50,       9,      29,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      51,      29,      22,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      52,      27,       9,     -0.000000,     -0.000000,     -1.000000,  Q345,     L56x5
      53,       9,      30,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      54,      30,      26,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      55,       7,      30,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      56,      30,      27,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      57,      26,       7,     -0.000000,     -0.000000,     -1.000000,  Q345,     L56x5
      58,       7,      31,      0.000000,      0.000000,      1.000000,  Q345,     L40x5
      59,      31,      25,      0.000000,      0.000000,      1.000000,  Q345,     L40x5
      60,       5,      26,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x5
      61,       5,      25,     -0.000000,     -0.000000,     -1.000000,  Q345,     L56x5
      62,       5,      32,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      63,      32,      24,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      64,      13,      32,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      65,      32,      25,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      66,      13,      33,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      67,      33,      23,      0.000000,      0.000000,      1.000000,  Q345,     L40x4
      68,       3,      33,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      69,      33,      24,     -0.000000,     -0.000000,     -1.000000,  Q345,     L40x4
      70,       3,      23,     -0.000000,     -0.000000,     -1.000000,  Q345,     L56x5
      71,       3,      34,      0.000000,      0.000000,      1.000000,  Q345,     L45x4
      72,      34,      28,      0.000000,      0.000000,      1.000000,  Q345,     L45x4
      73,      12,      34,     -0.000000,     -0.000000,     -1.000000,  Q345,     L45x4
      74,      34,      23,     -0.000000,     -0.000000,     -1.000000,  Q345,     L45x4
      75,      12,      35,      0.000000,      0.000000,      1.000000,  Q345,     L45x4
      76,      35,      21,      0.000000,      0.000000,      1.000000,  Q345,     L45x4
